#{"t_start": 1766599316.844136, "env_id": "BipedalWalker-v3"}
r,l,t
265.47144,1207,3240.84347
270.742298,1167,3242.795954
272.585932,1115,3243.579321
20.372761,678,3245.068247
272.281148,1126,3245.854837
269.558214,1162,3247.713523
271.397735,1143,3248.561619
266.048823,1214,3250.423506
273.631852,1095,3251.195682
272.55067,1121,3253.02946
267.802871,1188,3254.88884
100.395163,904,3255.576751
268.641888,1171,3257.529261
272.057179,1126,3258.365148
274.416113,1104,3260.125833
268.992901,1153,3260.930401
268.861344,1162,3262.861513
264.539628,1234,3263.716089
275.375071,1078,3265.552122
269.538042,1163,3267.389997
273.624408,1125,3268.167364
27.764033,669,3268.644868
273.615954,1116,3270.422278
274.400797,1100,3271.220757
273.205094,1103,3273.070478
243.871693,1570,3275.138429
273.738693,1115,3275.951814
269.656106,1152,3277.762166
273.352569,1098,3278.56648
273.943404,1104,3280.40615
273.544995,1104,3282.195482
272.46342,1132,3283.082694
276.157652,1079,3284.88721
274.870968,1098,3285.650766
266.152544,1208,3287.549081
268.403679,1184,3288.390444
274.611375,1093,3290.161819
271.236925,1159,3291.013137
276.283378,1072,3292.78219
270.298375,1157,3293.674981
272.763698,1114,3295.588671
277.06264,1059,3297.353703
275.122229,1090,3298.135516
263.972004,1256,3300.057091
273.281637,1162,3300.849001
276.791451,1075,3302.665172
274.86231,1092,3303.563451
266.822131,1223,3305.481741
274.485109,1086,3306.249425
274.179588,1109,3308.243729
271.853929,1129,3310.151991
-35.735128,406,3310.443085
275.479697,1083,3311.194162
273.715628,1128,3313.037137
138.883157,1020,3313.821774
70.114784,822,3315.369923
271.076453,1131,3316.241889
274.768321,1097,3318.502175
272.15914,1131,3319.676896
276.349012,1067,3322.033219
274.844477,1084,3322.898082
116.14483,1008,3325.029977
270.989564,1151,3325.876782
275.201958,1094,3327.747472
255.864725,1368,3330.075595
100.769588,914,3330.860862
275.980996,1090,3332.928898
41.992057,643,3333.425908
272.428367,1106,3334.388862
267.093394,1203,3336.905943
262.780423,1272,3339.896606
274.263848,1099,3340.882707
275.810927,1078,3342.877493
278.378897,1036,3343.827209
275.959007,1072,3345.848927
273.620134,1101,3346.699608
-2.459899,533,3348.174555
275.142056,1082,3348.943016
278.222262,1043,3350.778107
274.444979,1106,3351.593442
274.530614,1094,3353.429269
274.385309,1093,3354.205106
272.481264,1117,3356.092733
266.713485,1192,3356.949983
274.639817,1119,3358.753155
276.26068,1043,3359.486914
275.345742,1092,3361.277767
262.61731,1257,3363.343324
270.828463,1149,3364.280104
265.820797,1240,3366.617054
277.467287,1057,3367.441436
276.354305,1079,3369.484226
274.377173,1086,3370.267166
275.168948,1090,3372.03628
271.935561,1129,3372.864668
105.57168,878,3374.494181
268.115634,1162,3375.335822
276.643554,1053,3377.112607
262.039468,1278,3379.443664
274.899681,1094,3380.208284
275.009023,1080,3382.008342
269.929216,1139,3382.820076
-0.981462,530,3383.205813
263.066779,1277,3385.358215
274.754388,1095,3387.24209
273.108372,1114,3388.008928
274.475318,1097,3389.922529
263.575727,1247,3390.944169
271.321181,1131,3392.779145
260.781937,1282,3393.694525
-39.040153,403,3394.982115
267.616853,1190,3395.840128
273.243978,1140,3397.803545
272.311152,1118,3399.041356
270.100097,1154,3401.155457
269.283827,1145,3402.079945
275.460764,1092,3403.95702
274.03308,1105,3404.788495
276.662284,1078,3406.616722
273.264889,1109,3408.437043
268.629114,1182,3409.247102
277.431762,1054,3410.989546
275.548723,1069,3411.741666
270.89039,1164,3413.54523
274.234008,1082,3414.285959
275.909409,1064,3416.015338
275.533073,1099,3416.786468
275.468936,1086,3418.565296
275.085617,1086,3419.332759
138.790949,1074,3421.0327
277.1409,1075,3421.887936
101.647725,855,3423.484889
270.321591,1150,3424.295552
275.163807,1095,3426.051523
275.322113,1077,3426.799996
270.310829,1144,3428.615682
273.461759,1110,3430.351439
270.681241,1146,3431.152229
273.723082,1112,3432.912766
271.371356,1150,3433.725892
273.79013,1097,3435.464168
276.600066,1065,3436.211067
277.065305,1068,3438.068037
129.426096,1019,3438.810883
-22.577844,417,3440.105781
272.975088,1130,3440.882457
274.19059,1091,3442.658387
279.338975,1019,3443.363014
271.563705,1131,3445.125427
265.136091,1235,3445.974366
271.711652,1129,3447.719991
273.354812,1104,3448.534497
276.148972,1079,3450.286224
267.701708,1178,3451.072669
268.44162,1166,3452.910774
265.208357,1211,3454.729641
271.3306,1144,3455.50715
265.89271,1231,3457.31328
278.824022,1041,3458.032728
274.970389,1100,3459.869783
276.690437,1066,3460.605812
277.660308,1044,3462.341403
273.534493,1115,3463.101535
259.415307,1308,3464.999777
273.323297,1093,3466.738139
276.138291,1073,3467.500817
274.770554,1075,3469.344111
275.887375,1067,3470.074723
274.349809,1093,3471.8602
276.957155,1062,3472.597958
266.126501,1225,3474.396899
265.214784,1215,3475.265819
272.901441,1104,3477.027743
273.821661,1109,3477.792502
273.337555,1103,3479.614095
275.532551,1080,3481.327565
272.397274,1106,3482.092844
272.49361,1109,3483.881186
98.630656,900,3484.495484
269.314208,1184,3486.373969
273.457659,1107,3487.129633
274.066778,1101,3488.89074
276.157401,1065,3489.666147
276.761998,1071,3491.404499
278.718719,1046,3492.127661
272.783375,1087,3493.888401
271.544997,1127,3494.681541
270.703527,1162,3496.447824
276.806511,1068,3497.19628
275.151188,1084,3498.972204
-55.464111,321,3499.185312
277.14681,1038,3500.912948
269.861385,1167,3501.742962
271.335395,1144,3503.512744
111.269452,1024,3504.222372
0.747634,537,3505.61209
272.684215,1132,3506.382026
273.439567,1105,3508.141881
272.2688,1135,3508.928189
-65.148313,285,3509.129462
269.106101,1164,3510.996641
266.147914,1220,3511.912198
271.229834,1147,3513.730499
256.817389,1346,3515.645281
272.673659,1126,3516.507267
276.652299,1074,3518.236334
269.603341,1165,3519.064231
276.360164,1066,3520.878149
274.428975,1099,3521.635808
94.732308,879,3523.290631
274.500724,1103,3524.056056
271.498355,1146,3525.938006
-14.057875,680,3526.389019
143.370059,1152,3528.299155
43.681243,718,3528.794194
277.027274,1080,3530.597987
271.210424,1146,3531.386897
277.580222,1042,3533.126645
274.999242,1094,3533.870675
274.314302,1088,3535.622937
276.071475,1052,3536.32029
276.931599,1060,3538.043841
86.60403,942,3538.705863
275.332016,1087,3540.453248
273.382719,1114,3541.292052
277.074887,1051,3543.022552
273.665904,1117,3543.80881
273.144954,1123,3545.618148
-64.59118,305,3545.827451
277.022279,1066,3547.65308
274.292918,1092,3548.39728
271.365986,1140,3550.195309
275.680669,1093,3550.93707
271.134155,1149,3552.780396
273.165989,1120,3553.552397
269.669794,1159,3555.322264
274.290461,1091,3556.061563
272.535407,1134,3557.853336
273.53961,1080,3559.633283
267.384724,1206,3560.447786
275.471737,1077,3562.261202
-58.365119,340,3562.486485
268.093204,1185,3563.33234
275.016561,1084,3565.082901
276.702961,1046,3565.809005
270.073494,1168,3567.624975
66.346738,741,3568.126182
265.533615,1211,3569.950445
271.212457,1131,3571.717864
275.214196,1089,3572.514718
276.162343,1078,3574.246122
277.423167,1075,3574.979069
277.459004,1065,3576.811142
275.233176,1076,3577.573942
275.082085,1094,3579.463279
127.750547,1058,3580.196425
271.499549,1133,3581.983008
272.846457,1130,3582.864446
267.925186,1216,3584.700698
-76.36822,420,3584.991843
272.896259,1126,3586.756537
-68.75586,237,3586.919606
272.282677,1128,3587.714006
272.109927,1125,3589.47959
276.354848,1076,3590.23381
99.342139,947,3591.890497
272.005773,1128,3592.720327
274.663425,1088,3594.461425
278.667484,1036,3595.179786
147.892097,1214,3597.079127
-12.823513,464,3597.406197
274.487081,1105,3599.1673
275.146829,1078,3599.897325
272.998273,1122,3601.674297
275.682846,1097,3602.427605
275.489346,1086,3604.240129
274.378902,1098,3605.996336
272.870281,1146,3606.78392
273.858417,1082,3608.542256
278.924662,1040,3609.371959
275.032942,1080,3611.091889
275.720143,1098,3611.865311
