#{"t_start": 1766559234.0708675, "env_id": "BipedalWalker-v3"}
r,l,t
237.963663,1600,22347.179678
239.085079,1597,22349.560228
218.516021,1600,22351.974103
231.103004,1600,22353.202754
228.284014,1600,22355.623967
246.750548,1522,22358.014648
241.314247,1548,22360.684926
243.918712,1572,22361.895811
222.032954,1600,22364.601485
242.222552,1572,22367.078211
242.558242,1575,22369.615086
232.853665,1600,22371.957515
246.773391,1527,22373.274908
237.399838,1600,22375.683104
239.934483,1600,22378.172924
5.288741,944,22378.931602
247.303541,1537,22381.333845
243.021087,1558,22383.770771
239.857424,1600,22386.310488
240.542052,1600,22387.562812
242.865562,1574,22390.028772
238.04225,1600,22392.495761
245.880624,1546,22394.879644
243.335976,1600,22396.125765
233.950047,1600,22398.568175
18.591676,1092,22400.662723
252.37219,1484,22401.820703
243.068864,1565,22404.202943
248.612932,1533,22406.687216
244.315226,1581,22409.143749
